date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:00:21	6284/6284	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2016:59:49%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Farticles%2FFAQ%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index37ff.html	(from https://school9.perm.ru/gate/articles/FAQ/)
22:00:21	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2017:00:22%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Farticles%2Fabout%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login.340be6.delayed	(from https://school9.perm.ru/gate/articles/about/)
22:00:55	6969/6969	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:00:22%20GMT	https://school9.perm.ru/gate/admin/?redirect=%2Fgate%2Farticles%2FFAQ%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/admin/index37ff.html	(from https://school9.perm.ru/gate/articles/FAQ/)
22:00:55	7536/7536	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:00:22%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Fnicety%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index359b.html	(from https://school9.perm.ru/gate/articles/nicety/)
22:01:29	7529/7529	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:00:56%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Frules%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index9de5.html	(from https://school9.perm.ru/gate/articles/rules/)
22:01:29	6977/6977	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:00:56%20GMT	https://school9.perm.ru/gate/admin/?redirect=%2Fgate%2Farticles%2Frules%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/admin/index9de5.html	(from https://school9.perm.ru/gate/articles/rules/)
22:01:36	6291/6291	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2017:00:56%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Farticles%2Frules%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index9de5.html	(from https://school9.perm.ru/gate/articles/rules/)
22:01:36	6292/6292	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2017:00:56%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Farticles%2Fabout%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index0be6.html	(from https://school9.perm.ru/gate/articles/about/)
22:01:36	7529/7529	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:01:30%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Farticles%2Fabout%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index0be6.html	(from https://school9.perm.ru/gate/articles/about/)
22:01:36	6977/6977	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:01:30%20GMT	https://school9.perm.ru/gate/admin/?redirect=%2Fgate%2Farticles%2Fabout%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/admin/index0be6.html	(from https://school9.perm.ru/gate/articles/about/)
22:01:36	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2017:01:36%20GMT	https://school9.perm.ru/gate/login?redirect=%2Fgate%2Fresources%2Fdownloads%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login.355fa8.delayed	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:36	169/169	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/resources/pub/testlib/testlib-1.0.0-RC4.tar.bz2	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/resources/pub/testlib/testlib-1.0.0-RC4.tar.bz2	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:36	6311/6311	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Sun,%2027%20May%202018%2017:01:36%20GMT	https://school9.perm.ru/gate/tester/?redirect=%2Fgate%2Fresources%2Fdownloads%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/tester/index5fa8.html	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:36	7564/7564	---MC-	200	added ('OK')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/login/?redirect=%2Fgate%2Fresources%2Fdownloads%2F	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/index5fa8.html	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:36	169/169	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/resources/pub/testlib/testlib++-1.0.0-RC3.tar.bz2	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/resources/pub/testlib/testlib++-1.0.0-RC3.tar.bz2	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:37	169/169	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/resources/pub/testlib/testlib.pas-1.0.0-RC3.tar.bz2	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/resources/pub/testlib/testlib.pas-1.0.0-RC3.tar.bz2	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:37	169/169	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/resources/pub/testlib/checker.vcproj.zip	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/resources/pub/testlib/checker.vcproj.zip	(from https://school9.perm.ru/gate/resources/downloads/)
22:01:37	185/185	---M--	301	error ('Moved%20Permanently')	text/html	date:Sun,%2027%20May%202018%2017:01:37%20GMT	https://school9.perm.ru/gate/login/restore	C:/Users/%d0%98%d0%b2%d0%b0%d0%bd/Desktop/gate%20web/gate/gate/school9.perm.ru/gate/login/restore	(from https://school9.perm.ru/gate/login/?redirect=%2Fgate%2F)
